53,Prionace glauca,-63.17156,44.22905,2014-08-28,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,27,1.65,Blue Shark
54,Prionace glauca,-63.21849,44.21009,2014-08-23,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,15,1.52,Blue Shark
55,Prionace glauca,-63.22421,44.2051,2014-08-25,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,6,1.03,Blue Shark
56,Prionace glauca,-63.21628,44.21061,2014-08-23,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,26,1.65,Blue Shark
57,Prionace glauca,-63.18673,44.22631,2014-08-28,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,15,1.31,Blue Shark
58,Prionace glauca,-63.26004,44.22728,2021-08-05,FRED WHORISKEY,"~20KM OFF EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,,Blue Shark
59,Prionace glauca,-63.41847,44.35382,2021-08-24,OTN,NOVA SCOTIA,F,JUVENILE,,1.23,Blue Shark
60,Prionace glauca,-63.55136667,44.37863333,2019-09-06,FRED WHORISKEY,"SHOAL GROUNDS, 2-4 NM OFF SAMBRO HEAD",F,JUVENILE,,1.37,Blue Shark
61,Prionace glauca,-63.30007,44.20994,2019-08-25,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,,1.51,Blue Shark
62,Prionace glauca,-63.43407,44.40057,2021-08-23,OTN,NOVA SCOTIA,F,JUVENILE,,1.5,Blue Shark
63,Prionace glauca,-63.43757,44.39778,2021-08-23,OTN,NOVA SCOTIA,F,JUVENILE,,1.37,Blue Shark
64,Prionace glauca,-63.41042,44.3924,2021-08-23,OTN,NOVA SCOTIA,F,JUVENILE,,1.27,Blue Shark
65,Prionace glauca,-63.27934,44.209163,2013-07-13,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,32.65,1.6,Blue Shark
66,Prionace glauca,-63.20071,44.21,2014-08-28,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,12,1.35,Blue Shark
67,Prionace glauca,-63.30111,44.20936,2019-08-25,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,,1.68,Blue Shark
68,Prionace glauca,-63.20911,44.21566,2014-08-23,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,9,1.31,Blue Shark
69,Prionace glauca,-63.20846,44.21264,2014-08-25,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,20,1.47,Blue Shark
70,Prionace glauca,-63.21504,44.20827,2014-08-25,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,19,1.42,Blue Shark
71,Prionace glauca,-63.20322,44.22207,2014-08-25,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,28,1.63,Blue Shark
72,Prionace glauca,-63.20907,44.31164,2014-08-25,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,12,1.31,Blue Shark
73,Prionace glauca,-63.18984,44.22511,2014-08-28,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,20,1.41,Blue Shark
74,Prionace glauca,-63.20657,44.20176,2015-08-16,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.5494,Blue Shark
75,Prionace glauca,-63.21005,44.20157,2015-08-16,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.0541,Blue Shark
76,Prionace glauca,-63.21326,44.20133,2015-08-16,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.4097,Blue Shark
77,Prionace glauca,-63.00764,44.26362,2015-07-17,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.524,Blue Shark
78,Prionace glauca,-63.20366,44.20681,2015-08-16,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.4351,Blue Shark
79,Prionace glauca,-63.20376,44.20586,2015-08-16,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.5875,Blue Shark
80,Prionace glauca,-62.59801,44.25894,2015-07-17,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.651,Blue Shark
81,Prionace glauca,-62.59941,44.25942,2015-07-17,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.6256,Blue Shark
82,Prionace glauca,-63.2047,44.20287,2015-08-16,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.1049,Blue Shark
83,Prionace glauca,-63.20353,44.20236,2015-08-16,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.68275,Blue Shark
84,Prionace glauca,-62.5947,44.25905,2015-07-17,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.09982,Blue Shark
85,Prionace glauca,-62.5947,44.25905,2015-07-17,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.5367,Blue Shark
86,Prionace glauca,-62.5943,44.25905,2015-07-17,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.8542,Blue Shark
87,Prionace glauca,-63.2535,44.1744,2017-07-22,BRENDAL TOWNSEND,NEAR ALPHA BUOY,F,JUVENILE,,1.32,Blue Shark
88,Prionace glauca,-63.20585,44.20837,2015-07-15,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.7018,Blue Shark
89,Prionace glauca,-63.18294,44.21995,2015-07-14,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.3589,Blue Shark
90,Prionace glauca,-63.17982,44.2276,2014-08-28,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,20,1.52,Blue Shark
91,Prionace glauca,-63.18294,44.21995,2015-07-14,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.4097,Blue Shark
92,Prionace glauca,-63.27058,44.22709,2018-08-06,FRED WHORISKEY,SAMBRO HEAD,F,JUVENILE,,2.13,Blue Shark
93,Prionace glauca,-63.18294,44.21995,2015-07-14,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.6383,Blue Shark
94,Prionace glauca,-63.1595,44.2314,2014-09-26,BORIS WORM,EASTERN PASSAGE,F,SUB-ADULT,,1.5367,Blue Shark
95,Prionace glauca,-63.1916,44.1965,2014-09-26,BORIS WORM,EASTERN PASSAGE,F,SUB-ADULT,,1.6891,Blue Shark
96,Prionace glauca,-63.20588,44.19798,2016-09-19,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.461,Blue Shark
97,Prionace glauca,-63.21124,44.20622,2016-09-19,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.549,Blue Shark
98,Prionace glauca,-63.2261,44.2047,2016-08-29,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.727,Blue Shark
99,Prionace glauca,-63.1978,44.22156,2016-07-18,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.524,Blue Shark
100,Prionace glauca,-63.2484,44.1782,2017-07-22,BRENDAL TOWNSEND,NEAR ALPHA BUOY,M,JUVENILE,,1.27,Blue Shark
101,Prionace glauca,-63.21821,44.1965,2018-08-06,FRED WHORISKEY,SAMBRO HEAD,F,JUVENILE,,1.28,Blue Shark
102,Prionace glauca,-63.05829,44.26271,2018-08-01,FRED WHORISKEY,SAMBRO HEAD,F,JUVENILE,,1.66,Blue Shark
103,Prionace glauca,-63.21415,44.19152,2017-08-27,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.37,Blue Shark
104,Prionace glauca,-63.05276,44.2699,2017-08-25,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.52,Blue Shark
105,Prionace glauca,-63.21664,44.19614,2017-08-22,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.68,Blue Shark
106,Prionace glauca,-63.0534,44.26917,2017-08-25,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.65,Blue Shark
107,Prionace glauca,-63.05106,44.26,2017-08-25,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.41,Blue Shark
108,Prionace glauca,-63.05389,44.26895,2017-08-25,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.395,Blue Shark
109,Prionace glauca,-63.21124,44.20622,2019-09-06,FRED WHORISKEY,"SHOAL GROUNDS, 2-4 NM OFF SAMBRO HEAD",F,JUVENILE,,1.257,Blue Shark
110,Prionace glauca,-63.22008,44.149,2017-08-22,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.6,Blue Shark
111,Prionace glauca,-63.21662,44.1951,2017-08-27,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.32,Blue Shark
112,Prionace glauca,-63.22553,44.19165,2017-08-22,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.17,Blue Shark
113,Prionace glauca,-63.2304,44.19043,2017-08-22,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.04,Blue Shark
114,Prionace glauca,-63.21664,44.19614,2017-08-22,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.77,Blue Shark
115,Prionace glauca,-63.27228,44.22492,2019-08-25,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,,1.21,Blue Shark
116,Prionace glauca,-63.29217,44.21414,2019-08-25,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,,1.4,Blue Shark
